Date,Start Time,End Time,Total Bets,Value
2024-07-22,00:05:43.089705,00:05:45.523247,2303,5.41
2024-07-22,00:05:51.300709,00:06:01.428945,2759,1.42
2024-07-22,00:06:06.060678,00:06:26.357179,2396,3.38
2024-07-22,00:06:33.731983,00:06:46.177235,2471,1.66
2024-07-22,00:06:50.913540,00:07:22.727994,2533,7.31
2024-07-22,00:07:27.048552,00:07:41.654778,2442,1.97
2024-07-22,00:07:49.352804,00:08:12.043962,2599,4.44
2024-07-22,00:08:19.069770,00:08:36.206712,2459,2.64
2024-07-22,00:08:43.138894,00:08:48.654455,275,1.04
2024-07-22,00:08:56.247751,00:09:06.456163,2409,1.50
2024-07-22,00:09:11.361766,00:09:17.021487,2423,1.00
2024-07-22,00:09:24.277588,00:09:29.778560,2249,1.00
2024-07-22,00:09:37.332535,00:09:52.723226,2103,2.50
2024-07-22,00:09:57.523385,00:10:19.632134,2455,3.25
2024-07-22,00:10:24.215220,00:10:39.628746,1962,2.28
2024-07-22,00:10:46.972380,00:10:55.100855,2306,1.08
2024-07-22,00:10:59.851622,00:11:30.818106,1955,8.03
2024-07-22,00:11:37.941603,00:11:45.781773,2452,1.32
2024-07-22,00:11:52.980856,00:12:17.591165,2306,4.45
2024-07-22,00:12:22.302011,00:12:32.746868,2104,1.43
2024-07-22,00:12:40.211286,00:12:49.941766,2427,1.39
2024-07-22,00:12:54.328931,00:13:11.502150,2075,2.27
2024-07-22,00:13:16.114185,00:13:37.728645,2131,3.53
2024-07-22,00:13:45.074479,00:13:52.718473,2173,1.25
2024-07-22,00:13:59.940503,00:14:07.795969,1551,1.40
2024-07-22,00:14:15.294459,00:14:37.507739,2032,4.19
2024-07-22,00:14:44.905923,00:14:57.364501,2311,1.78
2024-07-22,00:15:02.012933,00:15:24.165078,1951,3.35
2024-07-22,00:15:28.990782,00:15:50.991069,1947,3.86
2024-07-22,00:15:58.232947,00:16:15.731198,2134,2.75
2024-07-22,00:16:22.996002,00:16:33.161411,2154,1.50
2024-07-22,00:16:37.791481,00:17:13.744275,1957,10.42
2024-07-22,00:17:18.532441,00:17:40.837012,2397,3.59
2024-07-22,00:17:45.537851,00:18:07.492580,2312,3.59
2024-07-22,00:18:14.710606,00:18:27.289724,2332,1.95
2024-07-22,00:18:34.305632,00:18:39.966877,2302,1.04
2024-07-22,00:18:47.361361,00:19:40.074283,2019,49.71
2024-07-22,00:19:44.870544,00:19:54.903593,2577,1.28
2024-07-22,00:19:59.414921,00:20:23.691856,2159,4.26
2024-07-22,00:20:30.777173,00:20:36.342078,2373,1.00
2024-07-22,00:20:41.101864,00:21:13.192633,2425,7.24
2024-07-22,00:21:17.867576,00:21:30.519145,2239,1.80
2024-07-22,00:21:37.619858,00:21:50.613029,2510,1.93
2024-07-22,00:21:58.494933,00:22:27.277217,2452,7.79
2024-07-22,00:22:34.323217,00:22:51.287856,2536,2.69
2024-07-22,00:22:58.855063,00:24:19.598332,2459,504.14
2024-07-22,00:24:24.999580,00:24:35.005878,2429,1.39
2024-07-22,00:24:42.073227,00:24:58.696361,2267,2.53
2024-07-22,00:25:03.310454,00:25:13.191562,2559,1.21
2024-07-22,00:25:17.672412,00:25:31.914852,2533,1.72
2024-07-22,00:25:36.506164,00:26:04.006213,2550,5.57
2024-07-22,00:26:10.850214,00:26:32.421801,2755,3.72
2024-07-22,00:26:36.792235,00:26:49.095531,2593,1.48
2024-07-22,00:26:55.949439,00:27:15.660253,2432,3.40
2024-07-22,00:27:23.085909,00:27:28.589695,2305,1.4
2024-07-22,00:27:35.432584,00:27:44.208042,2716,1.23
2024-07-22,00:27:51.548906,00:28:01.372417,2540,1.46
2024-07-22,00:28:08.238095,00:28:20.032100,2355,1.84
2024-07-22,00:28:27.828499,00:28:47.760362,2413,3.60
2024-07-22,00:28:55.034450,00:29:02.522393,2572,1.22
2024-07-22,00:29:09.867415,00:29:40.903091,2291,9.55
2024-07-22,00:29:48.393773,00:29:56.028726,2423,1.25
2024-07-22,00:30:03.188258,00:30:13.003822,,1.43
2024-07-22,00:30:17.557357,00:30:30.083903,2262,1.59
2024-07-22,00:30:37.011340,00:31:39.747185,2214,117.92
2024-07-22,00:31:44.497917,00:31:55.082999,2317,1.34
2024-07-22,00:31:59.543322,00:32:09.485394,2155,1.36
2024-07-22,00:32:16.492211,00:32:26.531269,2030,1.47
2024-07-22,00:32:33.220141,00:32:45.707817,2133,1.85
2024-07-22,00:32:53.112658,00:33:05.925697,2303,1.95
2024-07-22,00:33:13.229976,00:33:38.347437,2354,4.75
2024-07-22,00:33:45.359465,00:34:00.857631,2493,2.29
2024-07-22,00:34:08.441267,00:34:14.071790,2414,1.15
2024-07-22,00:34:20.920815,00:34:55.332729,2055,11.25
2024-07-22,00:35:02.670074,00:35:13.229962,2351,1.68
2024-07-22,00:35:20.627798,00:35:33.243817,2342,1.90
2024-07-22,00:35:40.354397,00:36:06.841423,2330,5.31
2024-07-22,00:36:11.512502,00:36:25.752275,2355,1.97
2024-07-22,00:36:33.048108,00:36:46.042003,2303,2.07
2024-07-22,00:36:53.363178,00:37:05.936640,2317,1.66
2024-07-22,00:37:10.589615,00:37:29.513143,2353,2.95
2024-07-22,00:37:36.855165,00:37:42.610960,2150,1.02
2024-07-22,00:37:49.807403,00:38:14.792093,2267,5.38
2024-07-22,00:38:21.491478,00:38:29.645820,2155,1.23
2024-07-22,00:38:34.451966,00:38:42.387051,2303,1.02
2024-07-22,00:38:46.989177,00:38:55.079245,2126,1.19
2024-07-22,00:39:02.556580,00:39:15.612450,1534,2.2
2024-07-22,00:39:22.916835,00:39:29.173359,2104,1.00
2024-07-22,00:39:33.919256,00:39:49.900034,1519,2.18
2024-07-22,00:39:55.097047,00:40:17.308299,1735,3.48
2024-07-22,00:40:21.921204,00:40:32.217914,1591,1.42
2024-07-22,00:40:39.726023,00:41:22.059957,1710,21.36
2024-07-22,00:41:26.680939,00:41:34.626113,,1.08
2024-07-22,00:41:39.121126,00:41:45.154934,,1.00
2024-07-22,00:41:52.947706,00:41:58.635334,1692,1.08
2024-07-22,00:42:03.351789,00:42:23.138205,1533,2.82
2024-07-22,00:42:28.008616,00:42:41.268658,1804,1.60
2024-07-22,00:42:45.950796,00:43:15.609219,1670,7.69
2024-07-22,00:43:22.689828,00:43:41.921313,1727,3.00
2024-07-22,00:43:46.490786,00:43:54.669376,1547,1.20
2024-07-22,00:44:01.730217,00:44:30.059214,1734,6.40
2024-07-22,00:44:35.022659,00:44:43.101414,1950,1.30
2024-07-22,00:44:50.181976,00:44:58.677241,1552,1.00
2024-07-22,00:45:01.429122,00:45:09.622527,1674,1.16
2024-07-22,00:45:16.893763,00:45:31.857501,1618,1.89
2024-07-22,00:45:36.300275,00:45:59.005083,1699,3.95
2024-07-22,00:46:06.570318,00:46:12.357828,1749,1.12
2024-07-22,00:46:19.430171,00:46:27.317596,1550,1.26
2024-07-22,00:46:31.863049,00:46:42.373424,,1.35
2024-07-22,00:46:46.919349,00:46:52.773025,1354,
2024-07-22,00:47:00.070777,00:47:08.287362,1373,1.4
2024-07-22,00:47:15.900202,00:47:28.398491,1235,1.90
2024-07-22,00:47:32.939650,00:47:55.064097,1355,3.54
2024-07-22,00:47:59.636391,00:48:17.055134,1413,2.48
2024-07-22,00:48:24.470701,00:48:41.896523,1433,2.76
2024-07-22,00:48:49.214108,00:48:59.289719,1437,1.45
2024-07-22,00:49:04.058314,00:49:12.073347,,1.17
2024-07-22,00:49:19.069435,00:49:26.686865,1210,1.22
2024-07-22,00:49:31.198840,00:50:00.734344,1176,6.91
2024-07-22,00:50:07.835719,00:50:30.140027,1533,4.45
2024-07-22,00:50:37.806641,00:51:01.834264,1547,5.14
