Date,Start Time,End Time,Total Bets,Value
2024-07-31,01:37:52.940014,,,0
2024-07-31,01:37:52.980638,,,0
,,01:37:58.393554,3506,1.00
2024-07-31,01:38:01.853096,01:38:30.173816,3345,8.13
2024-07-31,01:38:35.007598,01:38:46.480068,333,1.37
2024-07-31,01:38:54.029456,01:39:02.171712,3291,1.44
2024-07-31,01:39:09.062052,01:39:20.234219,3201,1.38
2024-07-31,01:39:25.265978,01:39:41.681999,3223,2.16
2024-07-31,01:39:46.621095,01:40:33.905712,3186,26.93
2024-07-31,01:40:39.220505,01:40:52.565912,3372,1.82
2024-07-31,01:41:00.510034,01:41:09.940099,3168,1.46
2024-07-31,01:41:15.520238,01:41:46.598416,3057,8.10
2024-07-31,01:41:54.692844,01:42:05.638483,3559,1.74
2024-07-31,01:42:13.407838,01:42:34.043078,3191,3.54
2024-07-31,01:42:38.753114,01:43:03.713153,3330,4.49
2024-07-31,01:43:08.223783,01:43:24.174124,3531,1.93
2024-07-31,01:43:28.937914,01:43:44.665058,3431,2.29
2024-07-31,01:43:52.098976,01:44:17.344019,3577,5.33
2024-07-31,01:44:24.613880,01:44:32.926418,3439,1.38
2024-07-31,01:44:40.257519,01:44:46.275926,3413,1.05
2024-07-31,01:44:54.060939,01:45:19.014849,3279,5.41
2024-07-31,01:45:28.486738,01:45:58.452378,3721,8.40
2024-07-31,01:46:04.011232,01:46:33.433526,3475,6.87
2024-07-31,01:46:38.338008,01:46:49.243145,3755,1.46
2024-07-31,01:46:56.250615,01:47:02.267575,3345,1.01
2024-07-31,01:47:07.431579,01:47:13.564962,3355,1.00
2024-07-31,01:47:21.490130,01:47:44.419317,3371,4.62
2024-07-31,01:47:51.911310,01:48:10.357877,3953,2.68
2024-07-31,01:48:16.584084,01:48:22.671407,3713,1.07
2024-07-31,01:48:31.188962,01:48:38.126772,3179,1.29
2024-07-31,01:48:46.408897,01:49:25.948791,3173,16.30
2024-07-31,01:49:30.809746,01:49:39.301815,3377,1.10
2024-07-31,01:49:43.964246,01:49:59.551986,3179,1.98
2024-07-31,01:50:04.455023,01:50:12.997821,3560,1.14
2024-07-31,01:50:21.055380,01:50:55.687813,3219,12.06
2024-07-31,01:51:00.518283,01:51:09.019842,3347,1.26
2024-07-31,01:51:16.693998,01:51:22.316359,2909,1.03
2024-07-31,01:51:29.671818,01:51:44.556547,2353,1.96
2024-07-31,01:51:49.517818,01:52:02.281105,3333,1.68
2024-07-31,01:52:09.872534,01:52:15.747588,3153,1.14
2024-07-31,01:52:23.528785,01:52:29.122554,2350,1.07
